date,close,high,low,open,volume
14-04-2022,279.8299866,288.3099976,279.3200073,288.0899963,28221600
18-04-2022,280.519989,282.4599915,278.3399963,278.9100037,20778000
19-04-2022,285.2999878,286.1700134,278.4100037,279.3800049,22297700
20-04-2022,286.3599854,289.7000122,285.3699951,289.3999939,22906700
21-04-2022,280.8099976,293.2999878,280.0599976,288.5799866,29454600
22-04-2022,274.0299988,283.2000122,273.3800049,281.6799927,29405800
25-04-2022,280.7200012,281.1099854,270.769989,273.2900085,35678900
26-04-2022,270.2200012,278.3599854,270,277.5,46518400
27-04-2022,283.2200012,290.9700012,279.1600037,282.1000061,63477700
28-04-2022,289.6300049,290.980011,281.4599915,285.1900024,33646600
29-04-2022,277.519989,289.8800049,276.5,288.6099854,37073900
02-05-2022,284.4700012,284.9400024,276.2200012,277.7099915,35151100
03-05-2022,281.7799988,284.1300049,280.1499939,283.9599915,25978600
04-05-2022,289.980011,290.8800049,276.730011,282.5899963,33599300
05-05-2022,277.3500061,286.3500061,274.3399963,285.5400085,43260400
06-05-2022,274.730011,279.25,271.269989,274.8099976,37780300
09-05-2022,264.5799866,272.3599854,263.3200073,270.0599976,47726000
10-05-2022,269.5,273.75,265.0700073,271.6900024,39336400
11-05-2022,260.5499878,271.3599854,259.2999878,265.6799927,48975900
12-05-2022,255.3500061,259.8800049,250.0200043,257.6900024,51033800
13-05-2022,261.1199951,263.0400085,255.3500061,257.3500061,34925100
16-05-2022,261.5,265.8200073,255.7799988,259.9599915,32550900
17-05-2022,266.8200073,268.3299866,262.4599915,266.1099854,28828800
18-05-2022,254.0800018,263.6000061,252.7700043,263,31356000
19-05-2022,253.1399994,257.6700134,251.8800049,253.8999939,32692300
20-05-2022,252.5599976,258.5400085,246.4400024,257.2399902,39199300
23-05-2022,260.6499939,261.5,253.4299927,255.4900055,33175400
24-05-2022,259.6199951,261.3299866,253.5,257.8900146,29043900
25-05-2022,262.519989,264.5799866,257.1300049,258.1400146,28547900
26-05-2022,265.8999939,267.1099854,261.4299927,262.269989,25002100
27-05-2022,273.2399902,273.3399963,267.5599976,268.480011,26910800
31-05-2022,271.8699951,274.769989,268.9299927,272.5299988,37827700
01-06-2022,272.4200134,277.6900024,270.0400085,275.2000122,25292200
02-06-2022,274.5799866,274.6499939,261.6000061,264.4500122,44008200
03-06-2022,270.019989,273.4500122,268.4100037,270.3099976,28059000
06-06-2022,268.75,274.1799927,267.2200012,272.0599976,22400300
07-06-2022,272.5,273.1300049,265.9400024,266.6400146,22860700
08-06-2022,270.4100037,273,269.6099854,271.7099915,17372300
09-06-2022,264.7900085,272.7099915,264.6300049,267.7799988,26439700
10-06-2022,252.9900055,260.5799866,252.5299988,260.5799866,31422800
13-06-2022,242.2599945,249.0200043,241.5299988,245.1100006,46135800
14-06-2022,244.4900055,245.7400055,241.5099945,243.8600006,28651500
15-06-2022,251.7599945,255.3000031,246.4199982,248.3099976,33111700
16-06-2022,244.9700012,247.4199982,243.0200043,245.9799957,33169200
17-06-2022,247.6499939,250.5,244.0299988,244.6999969,43084800
21-06-2022,253.7400055,254.75,249.5099945,250.2599945,29928300
22-06-2022,253.1300049,257.1700134,250.3699951,251.8899994,25939900
23-06-2022,258.8599854,259.3699951,253.6300049,255.5700073,25861400
24-06-2022,267.7000122,267.980011,261.7200012,261.8099976,33923200
27-06-2022,264.8900146,268.2999878,263.2799988,268.2099915,24615100
28-06-2022,256.480011,266.9100037,256.3200073,263.980011,27295500
29-06-2022,260.2600098,261.9700012,255.7599945,257.5899963,20069800
30-06-2022,256.8299866,259.5299988,252.8999939,257.0499878,31730900
01-07-2022,259.5799866,259.769989,254.6100006,256.3900146,22837700
