date,open,high,low,close,volume
18-09-2023,3580.05,3619.3,3575.25,3606.15,1395753
15-09-2023,3567.85,3607.35,3562.45,3598.3,2952897
14-09-2023,3570.05,3597.7,3545.6,3560.05,2604721
13-09-2023,3571.1,3588.85,3545,3567.85,1754929
12-09-2023,3492,3589.9,3483,3580.8,4476016
11-09-2023,3462,3485.7,3445,3480.65,1783604
08-09-2023,3455.25,3465,3435.05,3441.9,1518917
07-09-2023,3430.8,3460,3422.3,3455.25,1885092
06-09-2023,3434,3443.9,3398.1,3429.9,1314818
05-09-2023,3420,3447,3405.15,3429.35,1501842
04-09-2023,3378,3432.85,3370.05,3418.5,1828332
01-09-2023,3366,3389,3356.8,3379.2,1277950
31-08-2023,3401,3417.4,3343.65,3356.8,3417652
30-08-2023,3398,3408.1,3383.05,3390.95,1188200
29-08-2023,3381.05,3389.55,3365,3376.15,944517
28-08-2023,3394,3394,3360.1,3375.55,1037485
25-08-2023,3375,3385.8,3350.25,3381.3,1158046
24-08-2023,3408,3413.05,3378.1,3387.75,1152881
23-08-2023,3388,3402,3376,3398.25,1330046
22-08-2023,3400,3411,3365.05,3382.15,1222012
21-08-2023,3375,3409.75,3372,3401.65,1375579
18-08-2023,3410,3410,3356.5,3367.1,2526749
17-08-2023,3455,3460.8,3413.2,3435.75,1843241
16-08-2023,3450,3466,3435.2,3458.4,1328445
14-08-2023,3440.7,3455,3411,3449.85,1190425
11-08-2023,3438.1,3466.65,3414,3448.8,1679974
10-08-2023,3450,3464.9,3430.05,3442.1,1096701
09-08-2023,3464.9,3467,3425.05,3462.5,1794589
08-08-2023,3484.05,3489.95,3456.6,3470.6,1634225
07-08-2023,3453.95,3488,3441.25,3484.05,1853889
04-08-2023,3401.25,3471,3401.25,3443.55,2248493
03-08-2023,3420,3433.25,3368,3399.95,2026351
02-08-2023,3434.95,3446.4,3413.6,3440.65,1914899
01-08-2023,3415,3460,3415,3452.05,1956167
31-07-2023,3364.4,3426.65,3360.9,3421.45,2743678
28-07-2023,3385,3393.7,3331,3355.4,2599831
27-07-2023,3394.95,3411.65,3385.05,3396.9,1701769
26-07-2023,3400.35,3420.85,3385,3388.3,1066803
